InvoiceNo,InvoiceValue,TotalQuantity,NumItems,ValueBin
536365,139.12,40,7,£100-200
536366,22.200000000000003,12,2,<£50
536367,278.73,83,12,£200-500
536368,70.05000000000001,15,4,£50-100
536369,17.85,3,1,<£50
536371,204.0,80,1,£200-500
536372,22.200000000000003,12,2,<£50
536373,259.86,88,16,£200-500
536374,350.4,32,1,£200-500
536375,259.86,88,16,£200-500
536376,328.8,112,2,£200-500
536377,22.200000000000003,12,2,<£50
536378,444.98,454,19,£200-500
536380,34.8,24,1,<£50
536381,449.98,198,35,£200-500
536382,430.6,134,12,£200-500
536384,489.6,190,13,£200-500
536385,130.85,53,7,£100-200
536386,508.20000000000005,236,3,£500-1K
536387,3193.92,1440,5,>£1K
536388,226.14,108,14,£200-500
536390,1825.74,1568,24,>£1K
536392,318.14,103,10,£200-500
536393,79.6,8,1,£50-100
536394,1024.68,544,11,>£1K
536395,507.88,260,14,£500-1K
536396,376.36,102,18,£200-500
536397,279.0,60,2,£200-500
536398,426.56,150,17,£200-500
536399,22.200000000000003,12,2,<£50
536400,17.4,12,1,<£50
536401,354.23,124,64,£200-500
536402,357.0,116,3,£200-500
536404,471.3,438,28,£200-500
536405,326.4,128,1,£200-500
536406,353.14,96,17,£200-500
536407,22.200000000000003,12,2,<£50
536408,783.11,558,48,£500-1K
536409,243.28,173,58,£200-500
536412,514.41,220,81,£500-1K
536415,390.79,228,59,£200-500
536416,225.7,110,6,£200-500
536420,233.45,111,14,£200-500
536423,303.9,78,9,£200-500
536425,362.45,137,17,£200-500
536437,842.12,1004,6,£500-1K
536446,440.89,329,32,£200-500
536460,295.54,158,14,£200-500
536463,17.4,12,1,<£50
536464,277.35,160,85,£200-500
536466,42.9,18,2,<£50
536477,2474.7400000000002,1070,14,>£1K
536488,165.89,72,35,£100-200
536500,223.9,102,15,£200-500
536502,95.29,39,5,£50-100
536508,155.52,216,2,£100-200
536514,295.5,118,5,£200-500
536520,313.49,197,71,£200-500
536521,4.95,1,1,<£50
536522,191.06,86,54,£100-200
536523,203.3,112,12,£200-500
536524,70.80000000000001,24,4,£50-100
536525,136.24,29,13,£100-200
536526,301.24,94,9,£200-500
536528,313.93,124,57,£200-500
536529,161.0,38,9,£100-200
536530,201.75,72,23,£200-500
536531,950.09,416,23,£500-1K
536533,156.1,80,6,£100-200
536534,115.65,51,5,£100-200
536535,194.85000000000002,71,12,£100-200
536536,165.04999999999998,95,3,£100-200
536537,369.5,138,11,£200-500
536538,255.0,146,31,£200-500
536539,487.75,160,27,£200-500
536542,787.4,392,16,£500-1K
536544,5521.14,1208,527,>£1K
536551,146.61,88,35,£100-200
536555,2.9699999999999998,2,2,<£50
